"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","-","-","-","-","-","-","-","-","-","-","-","27.237"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","8.676.578","7.717.753","7.688.730","7.416.237","6.976.726","6.046.959","4.505.664","4.456.663","4.338.865","5.154.716","5.985.247","11.445.745"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","1.689.373.652","2.528.932.918","2.389.725.693","2.660.696.675","2.914.334.787","2.339.185.835","2.217.328.746","2.444.776.989","3.190.739.587","2.806.271.048","2.055.424.845","3.944.791.487"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","-","86.474","17.806","21.840","64.190","26.579","75.983","52.374","57.238","-","-","-"
"Riozinho","4315750","-29.638999999990","-50.448799999990","164.458","107.835","76.673","146.014","177.566","1.297.101","1.123.115","796.034","1.260.619","550.746","933.706","1.739.680"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","31.002.911","33.861.256","1.296.007","35.409.820","45.398.719","37.804.211","27.813.505","13.963.683","11.967.002","8.728.187","2.923.601","366.311"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","-","-","-","-","-","-","-","-","-","-","-","473"
"Rolante","4316006","-29.646200000000","-50.581899999990","8.780.290","13.315.725","12.608.667","13.070.904","14.956.011","12.904.308","15.371.908","15.957.179","16.592.555","18.771.977","13.729.666","27.527.111"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","20.120","11.070","20.031","10.513","614.474","-","-","-","-","-","-","-"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","3.555","719","-","-","-","-","-","-","-","-","-","-"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","723.300","1.453.028","94.560","3.120","39.989","44.386","131.420","92.096","80.454","-","6.680","161.228"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","-","-","-","-","-","-","-","-","68.230","16.560","-","-"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","-","-","-","-","-","576.080","198.337","149.848","-","42.500","112.330","584.500"
"Salvador das Missões","4316477","-28.123300000000","-54.837299999990","-","2.457.858","-","-","-","-","133.821","566.242","901.959","587.045","374.966","617.023"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","17.106.533","12.666.295","19.321.064","13.911.218","10.632.589","11.189.606","15.561.911","20.313.800","23.791.628","35.063.784","22.935.618","28.012.729"
"Sananduva","4316600","-27.946999999990","-51.807899999990","-","-","-","-","-","-","-","-","-","25.798","111.844","158.533"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","29.256.753","25.281.514","45.845.736","71.946.566","7.055.647","15.000.001","12.500.000","4.750.000","-","-","-","-"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","8.858.119","4.698.665","-","-","-","-","-","-","-","-","-","-"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","896.045.134","1.247.599.844","1.468.764.665","1.532.343.290","1.352.139.126","1.075.484.476","1.081.526.991","1.000.947.636","1.023.182.868","1.115.799.974","838.826.378","718.058.100"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","-","135.975","257.292","-","-","-","-","-","-","-","-","-"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","466.212.055","717.756.711","448.956.246","450.137.075","398.186.080","533.227.796","333.443.382","747.439.386","860.973.949","655.976.563","550.037.583","587.003.423"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","141.912.864","254.427.831","281.118.409","359.156.024","96.598.933","30.882.965","75.542.756","137.520.475","88.174.474","138.490.817","141.271.262","126.338.513"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","1.135.561","952.771","1.002.619","1.045.995","753.263","767.724","612.904","220.526","-","-","40.756","270.562"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","3.855","-","14.899","-","0","-","113.434","-","4.193.775","13.457.917","7.524.309","9.516.996"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","20.120.987","22.058.244","20.303.513","25.812.927","29.300.962","28.492.942","22.945.757","21.709.248","25.327.857","19.940.176","12.491.395","12.884.389"
"Santiago","4317400","-29.189699999990","-54.866599999990","-","-","-","-","-","-","-","-","-","-","-","219.333"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","44.153.253","38.374.036","57.439.118","97.640.593","48.415.946","134.460.767","70.910.891","119.113.807","95.366.774","152.911.198","156.350.078","145.152.211"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","1.620.975","8.080.750","8.681.279","8.110.570","6.098.610","7.048.002","6.292.819","3.619.902","4.602.190","5.282.545","9.492.212","8.629.839"
"Santo Antônio do Planalto","4317756","-28.403099999990","-52.699199999990","-","-","-","-","-","-","-","-","25.494","21.676","-","-"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","-","-","-","505.930","424.945","260.988","178.651","207.650","271.901","385.865","315.558","405.838"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","86.029","156.138","45.272","2.151.912","17.201","80.227","23.395","119.031","173.814","281.505","2.778.613","5.071.995"
"São Borja","4318002","-28.657800000000","-56.003599999990","2.724.827","735.386","775.045","597.783","522.397","907.676","1.117.377","823.478","1.499.184","1.177.904","1.470.819","1.479.310"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","-","-","-","-","-","-","-","-","4.995","18.414","75.882","54.383"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","780.183","-","-","-","11.504","93.459","14.068","96.978","765.352","1.259.467","3.900.433","7.113.352"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","79.777.332","79.119.531","69.469.522","61.263.413","31.444.046","24.088.006","19.429.464","25.979.288","34.869.170","22.651.452","70.357.269","54.165.794"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","395.141","388.577","557.730","536.013","709.704","944.918","345.556","511.607","420.334","993.758","319.536","535.004"
"São João do Polêsine","4318432","-29.619399999990","-53.443899999990","-","-","-","-","-","-","-","-","-","37.655","133.857","173.663"
"São José do Herval","4318465","-29.052000000000","-52.295000000000","-","-","-","-","-","-","-","-","-","-","54.535","56.644"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","13.951.840","10.754.443","6.111.270","5.395.553","1.848.424","198.990","253.433","189.039","113.265","189.628","197.345","232.712"
"São José do Inhacorá","4318499","-27.725100000000","-54.127499999990","-","-","-","-","-","-","-","139.355","459.923","193.761","880.274","1.469.474"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","12.672.595","18.258.942","13.731.785","12.777.207","20.423.541","15.502.100","20.888.498","24.387.589","19.217.247","17.402.120","55.691.013","200.304.613"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","-","-","-","-","-","-","-","-","45.333","-","-","270.000"
"São José do Sul","4318614","-29.529000000000","-51.487099999990","-","-","-","-","-","-","-","-","-","-","7.000","-"
"São José dos Ausentes","4318622","-28.747599999990","-50.067700000000","-","-","-","-","-","-","-","364.920","434.086","42.633","-","645.585"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","438.589.886","467.944.348","505.156.948","524.469.638","454.825.177","415.729.817","399.119.018","453.136.890","417.382.956","410.283.714","437.265.036","553.398.162"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","52.096","26.021","-","53.269","78.222","129.878","201.615","235.843","279.322","1.240.229","1.038.527","615.846"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","27.678.950","39.634.377","32.345.782","22.623.240","22.681.239","16.355.894","13.203.045","15.213.999","9.119.737","26.029.355","57.737.389","36.615.036"
"São Marcos","4319000","-28.967700000000","-51.069600000000","16.251.301","21.942.363","19.733.612","22.386.832","20.969.942","16.781.125","14.065.003","14.749.342","12.137.810","12.941.134","14.044.671","19.605.344"
"São Martinho","4319109","-27.711200000000","-53.969900000000","-","-","-","-","-","-","-","-","-","-","1.250","-"
"São Miguel das Missões","4319158","-28.556000000000","-54.555900000000","-","-","1.652.500","870.000","1.168","-","40.310","-","-","-","-","-"
"São Pedro da Serra","4319356","-29.419300000000","-51.513399999990","161.578","86.124","167.974","247.561","264.300","222.549","135.976","214.268","159.853","164.151","66.341","251.595"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","-","-","-","-","-","-","-","-","-","21.462","17.982","42.036"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","-","-","-","-","-","10.662","-","35.942","22.122","-","-","-"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","53.511.832","76.434.564","70.100.024","70.494.823","73.445.403","62.390.543","59.108.324","54.312.577","65.683.453","70.022.245","61.366.395","60.687.765"
"São Sepé","4319604","-30.164300000000","-53.560299999990","6.980","331.295","61.920","31.800","-","-","807","306","-","1.830","-","-"
"São Valentim","4319703","-27.558299999990","-52.523699999990","364.330","-","-","-","-","-","-","-","-","-","-","-"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","674.086","725.008","605.990","1.006.798","1.254.433","732.702","884.921","1.462.928","2.446.070","1.469.978","2.409.095","4.105.604"
"São Vendelino","4319752","-29.372900000000","-51.367500000000","246.679","266.263","285.765","244.001","243.483","100.106","249.406","576.414","380.613","380.383","315.610","543.538"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","-","-","115.528","155.899","30.847","158.210","-","-","-","-","-","-"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","162.123.358","149.616.354","106.763.230","103.606.080","112.071.423","103.315.994","119.720.129","137.948.207","128.826.092","138.657.685","84.021.979","129.544.461"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","37.068.423","50.061.386","41.103.497","44.201.700","32.921.374","29.082.589","26.137.402","42.462.128","58.370.027","35.545.609","26.645.124","46.359.016"
"Sarandi","4320107","-27.942000000000","-52.923099999990","1.416.000","18.165.500","10.964.000","-","-","-","11.822","28.136","52.837","278.860","595.512","1.300.409"
"Seberi","4320206","-27.482900000000","-53.402600000000","-","-","-","-","-","609.741","14.659.151","26.701.623","15.607.102","26.927.351","71.970.986","93.157.935"
"Selbach","4320305","-28.629400000000","-52.949800000000","-","-","-","-","-","-","51.495","28.066","-","-","-","-"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","-","-","-","-","91.800","25.128","88.710","117.058","22.340","-","460.363","144.072"
"Serafina Corrêa","4320404","-28.712599999990","-51.935299999990","4.467.577","1.429.279","2.378.418","2.560.306","2.967.482","4.290.468","3.385.782","2.612.154","1.671.044","1.192.532","3.647.573","3.892.924"
"Sertão","4320503","-27.979800000000","-52.258800000000","-","-","-","-","-","-","-","243.715","552.302","198.820","218.584","225.800"
"Sertão Santana","4320552","-30.456199999990","-51.601700000000","1.389.941","2.771.674","1.355.417","24.000","42.525","-","-","-","-","365.479","3.763.233","536.613"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","74.231","60.987","53.373","78.743","91.253","97.160","93.410","101.834","152.214","171.176","99.595","112.455"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","-","-","-","105.434","7.905","60.810","181.254","214.203","241.470","185.422","436.629","503.778"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","2.085.579","4.458.175","3.377.484","1.427.284","2.323.018","3.275.416","1.658.241","1.219.279","3.111.543","3.070.069","3.124.210","3.778.062"
"Soledade","4320800","-28.830600000000","-52.513100000000","47.450.946","77.723.342","90.989.397","75.077.576","63.738.396","55.879.259","56.895.311","63.381.487","61.672.241","60.216.197","52.984.135","83.865.035"
"Tapejara","4320909","-28.065200000000","-52.009700000000","5.401.432","7.125.018","18.463.012","18.369.307","26.062.912","22.183.913","19.311.548","24.855.904","25.793.279","29.497.714","29.299.453","32.093.850"
"Tapera","4321006","-28.627700000000","-52.861199999990","17.730","1.861.365","-","-","-","438.096","105.721","59.605","13.168","521.594","568.921","813.799"
"Tapes","4321105","-30.668299999990","-51.399099999990","708.373","3.591.437","3.917.833","932.751","267.308","823.651","398.781","272.037","1.268","12.202","31.682","110.515"
"Taquara","4321204","-29.650500000000","-50.775300000000","9.520.080","17.352.159","2.557.992","2.296.521","1.786.587","1.977.504","2.790.829","3.061.886","3.072.202","2.254.178","3.915.181","5.855.631"
"Taquari","4321303","-29.794300000000","-51.865299999990","52.062.230","65.250.884","48.950.543","59.028.929","28.350.085","27.099.169","26.248.000","34.043.691","40.262.365","31.473.969","31.403.246","31.258.423"
"Tavares","4321352","-31.284300000000","-51.088000000000","-","-","-","-","-","-","-","-","-","7.911","357.655","1.428.835"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","-","-","-","-","-","19.297","22.172","10.000","9.229","-","-","-"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","-","-","-","-","-","-","-","-","-","1.155","-","38.744"
"Teutônia","4321451","-29.448200000000","-51.804400000000","13.805.699","22.702.611","12.273.680","10.865.503","8.362.349","7.184.564","6.613.125","11.028.669","8.454.747","1.492.681","2.780.519","6.811.736"
"Torres","4321501","-29.333400000000","-49.733300000000","3.131","27.000","51.652","103.019","2.173.300","-","-","2.101","-","-","177.115","244.199"
"Tramandaí","4321600","-29.984100000000","-50.132199999990","2.940","363","19.744","16.874","322.911","3.282","23.181","238.578","490.212","1.324.204","1.973.757","2.127.219"
"Três Arroios","4321634","-27.500299999990","-52.144799999990","-","-","-","-","-","-","-","-","-","-","-","50.702"
"Três Cachoeiras","4321667","-29.448699999990","-49.927500000000","-","-","-","-","-","20.210","14.005","116.101","30.683","44.683","25.973","35.375"
"Três Coroas","4321709","-29.513700000000","-50.773899999990","24.783.743","28.052.395","28.252.069","26.078.574","21.698.729","16.698.092","19.522.850","22.338.443","17.236.819","15.896.943","11.038.647","10.822.197"
"Três de Maio","4321808","-27.780000000000","-54.235700000000","11.169.524","24.457.563","2.249.674","33.141","19.500","-","136.119","547.110","39.094","13.789","774.958","3.953.916"
"Três Palmeiras","4321857","-27.613900000000","-52.843699999990","-","-","-","-","-","-","-","-","-","-","1.157","-"
"Três Passos","4321907","-27.455500000000","-53.929600000000","-","-","-","793.123","135.448","-","104.850","-","-","-","2.869.197","33.909.673"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","-","-","-","-","-","6.767.358","4.576.095","4.394.246","941.278","802.881","1.524.219","2.743.670"
"Triunfo","4322004","-29.929099999990","-51.707500000000","1.506.595.185","1.953.693.210","1.709.104.379","1.961.277.125","1.812.521.832","1.557.695.867","1.375.797.732","1.583.112.932","1.425.435.038","1.304.554.744","811.883.541","1.410.060.871"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","7.275.920","6.538.000","5.369.000","-","6.230.000","-","-","-","22.495","1.754","-","-"
"Tupanciretã","4322202","-29.085799999990","-53.844499999990","30.002.609","43.568.097","46.875.990","22.815.008","8.179.299","5.440.240","2.942.100","7.900.220","8.260.670","2.518.980","606.288","1.090.510"
"Tupandi","4322251","-29.477200000000","-51.417400000000","18.425.838","24.092.691","21.487.536","35.051.630","33.226.891","20.921.164","19.500.052","18.776.681","19.180.134","12.202.083","13.780.561","28.423.624"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","7.050.512","7.912.835","10.533.822","9.432.475","16.610.431","10.909.222","9.787.625","9.765.593","11.410.909","10.530.605","4.429.160","1.125.750"
"Turuçu","4322327","-31.417300000000","-52.170600000000","-","-","-","-","-","-","8.082","216.107","78.605","7.544","-","-"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","2.530.879","4.618.320","2.751.188","965.124","3.289.287","6.192.758","4.036.775","5.947.540","10.353.903","13.136.249","22.342.532","21.602.458"
"Vacaria","4322509","-28.507899999990","-50.941800000000","41.035.155","36.642.109","42.942.894","60.616.165","29.778.562","45.340.270","17.365.584","31.659.204","47.617.963","36.660.095","39.911.901","63.258.657"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","-","-","-","-","6.209.341","8.036.559","6.799.471","1.029.024","-","-","-","675.471"
"Vale Real","4322541","-29.391900000000","-51.255899999990","-","2.678","17.595","-","-","474","-","6.560","-","4.050","44.551","29.540"
"Venâncio Aires","4322608","-29.614300000000","-52.193199999990","764.128.744","707.031.019","796.644.951","807.038.071","545.393.549","526.819.366","577.497.650","622.269.242","590.173.122","692.962.009","518.773.206","543.599.373"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","64.967.028","50.970.204","60.079.174","89.868.244","72.413.540","52.184.028","40.499.756","66.159.439","6.640.381","6.199.458","15.290.552","17.400.405"
"Veranópolis","4322806","-28.931200000000","-51.551600000000","54.649.445","46.044.164","31.885.843","42.943.389","39.893.355","39.853.936","33.663.363","89.565.322","94.839.481","49.932.038","46.670.521","99.949.776"
"Viadutos","4322905","-27.571600000000","-52.021099999990","-","-","-","-","-","-","-","-","-","-","31.836","50.474"
"Viamão","4323002","-30.081900000000","-51.019399999990","463.994","5.366.803","8.857.726","6.382.685","7.887.128","5.075.946","8.520.315","30.852.625","54.737.591","34.551.569","37.585.543","47.300.044"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","3.963","-","12.552","4.139","-","-","-","3.872","11.937","2.474","1.200","-"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","-","-","-","-","-","-","-","-","-","-","12.000","48.992"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","1.252.308","1.664.977","1.914.999","1.999.701","2.678.273","1.669.508","2.350.995","1.482.216","5.340.869","16.454.479","24.876.600","19.527.339"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","736.133","583.726","608.116","599.964","791.873","354.601","399.454","444.529","514.426","557.908","1.578.448","6.057.524"
"Westfalia","4323770","-29.374400000000","-51.746299999990","41.015.193","36.883.088","33.786.590","32.280.772","29.382.068","28.222.378","23.381.152","22.463.891","25.440.533","13.945.976","13.077.375","10.658.538"
"Xangri-lá","4323804","-29.806500000000","-50.051900000000","-","11.130","3.680","-","461.266","-","-","84.833","-","-","-","143"